A	B
PHF7	CASP8
ALOX5	CASP8
PRKAR2B	LIMCH1
MYLIP	LIMCH1
TSPAN9	LIMCH1
FHL1	LIMCH1
GPM6B	LIMCH1
PREX2	LIMCH1
ARHGAP6	LIMCH1
DKK3	LIMCH1
PLEKHA5	LIMCH1
FOXN3	LIMCH1
SYNE2	LIMCH1
FAM114A2	INTS13
VPS50	TM7SF3
VPS41	TM7SF3
AGA	TM7SF3
RETSAT	TM7SF3
STPG1	SPA17
WDR54	SPA17
LRRC23	SPA17
HMGB3	SPA17
IFT88	SPA17
DNAH5	SPA17
KIAA0556	SPA17
CC2D2A	SPA17
BTK	TSPAN32
SDCCAG8	ST3GAL6
TARBP1	ST3GAL6
CFTR	ATP2C2
PRSS22	ATP2C2
MAP3K9	ATP2C2
SCIN	ATP2C2
CACNA2D2	ATP2C2
RHOBTB2	ATP2C2
IL20RA	ATP2C2
DSG2	ATP2C2
LMO3	ATP2C2
PIK3C2A	HIPK2
VPS13D	HIPK2
ATP11B	HIPK2
ATP2B4	HIPK2
UQCRC1	RFXANK
PARP3	RFXANK
ISOC2	TMEM161A
EPN1	TMEM161A
TACC3	LPAR2
WAS	LPAR2
AP2S1	CTSA
RBM6	ABCA7
TNK2	ABCA7
SPA17	SNCAIP
MAP2K3	SBNO2
SCYL3	PMS1
CROT	PMS1
FAM76A	PMS1
COX15	PMS1
SPAST	PMS1
TFB1M	PMS1
ASTE1	PMS1
GATB	PMS1
PKD1	HMG20B
AKAP8L	HMG20B
OSBPL5	HMG20B
PNPLA6	HMG20B
TNK2	HMG20B
POLD1	HMG20B
CRAMP1	TAF11
GABARAPL2	TAF11
WDR37	TAF11
CCAR1	TAF11
DAPK2	ANKS1A
JADE2	ANKS1A
FAM214A	ANKS1A
NADK	AP3D1
LYPLA2	AP3D1
MVP	AP3D1
CS	AP3D1
THAP3	ZNF76
UNKL	ZNF76
PARP12	ZNF76
HMG20B	ZNF76
PDK2	NTHL1
SLC9A3R2	NTHL1
SPRTN	GNAI3
SCMH1	IPO5
PGM3	IPO5
RAI14	IPO5
CTNNA1	IPO5
RCN1	IPO5
NOP58	IPO5
DNAJC25	IPO5
RANBP9	OAT
CTNNA1	OAT
GINM1	OAT
COX10	WDR3
METTL1	WDR3
MRE11	PKN2
RPUSD1	WDR18
B4GALT7	WDR18
KLHL13	NTN1
UBA6	DGKA
SLC4A7	DGKA
OGFR	DGKA
CFTR	ERBB3
PRSS22	ERBB3
ALDH3B1	ERBB3
ARHGAP44	ERBB3
SCIN	ERBB3
CACNA2D2	ERBB3
RHOBTB2	ERBB3
GPRC5A	ERBB3
IL20RA	ERBB3
PLEKHB1	ERBB3
HSD17B6	ERBB3
DSG2	ERBB3
NEDD4L	ERBB3
PTPRU	ERBB3
ATP2C2	ERBB3
MBTD1	ANKRD44
UBR2	ANKRD44
ARID4A	ANKRD44
OFD1	ANKRD44
FAM214A	ANKRD44
NFE2L3	ANKRD44
PPP1R12A	ANKRD44
MARK4	TBC1D22B
TEAD3	TBC1D22B
SPAG9	TBC1D22B
SCMH1	TBC1D22B
ELOVL5	TBC1D22B
PGM3	TBC1D22B
PHF20	TBC1D22B
KPNA6	TBC1D22B
ATP6V0A1	TBC1D22B
CTNNA1	TBC1D22B
USP36	TBC1D22B
POLR3E	TBC1D22B
ATP2B4	TBC1D22B
GPBP1	TBC1D22B
KDM1A	NDUFB4
HEBP1	NDUFB4
DTNBP1	NDUFB4
RPL18	NDUFB4
CFLAR	SPEN
KDM7A	SPEN
FARP2	SPEN
SPAG9	SPEN
UBR2	SPEN
PHLPP2	SPEN
KIF1B	SPEN
SYNE2	SPEN
HIPK2	SPEN
TIMP2	MYLK
LIMA1	MYLK
