A	B
ACTN1	ATP8B1
MRVI1	ATP8B1
FRY	ATP8B1
NOTCH3	ATP8B1
NFKB2	ATP8B1
PPP1R12B	ATP8B1
IL4R	ATP8B1
SYNJ2	ATP8B1
RNASET2	FYB1
SLC4A8	FYB1
KCNQ1	FYB1
GCLC	STRADB
ATP9A	STRADB
CS	STRADB
ACAT1	STRADB
MCCC1	STRADB
ELOA	BZW1
BID	BZW1
KLHL13	PGR
ARHGAP44	PGR
ADAM22	PGR
VCL	PGR
EPHA3	PGR
SLC6A16	PGR
SNCAIP	PGR
MRVI1	PGR
NOTCH3	PGR
ATP8B1	PGR
MRC2	C1QTNF3
PAK3	C1QTNF3
NEDD4	FAM135A
SOAT1	EPB41L3
WIPI1	EPB41L3
LIMA1	COBLL1
EPB41L2	COBLL1
KLHL13	DLG3
ARHGAP33	DLG3
TSPOAP1	DLG3
CD9	DLG3
TMEM159	DLG3
EHD3	DLG3
ADGRA2	DLG3
CC2D2A	DLG3
GUCY1B1	DLG3
CA11	DLG3
CACNB1	DLG3
ROGDI	DLG3
PDZD4	DLG3
TESK2	DLG3
RPS6KA6	DLG3
GLI2	DLG3
NOTCH3	DLG3
ATP8B1	DLG3
PGR	DLG3
KLHL13	TRAF5
PLEKHO1	TRAF5
VCL	TRAF5
PPP1R12A	TRAF5
PPP1R12B	TRAF5
TGFBR3	GEMIN5
JADE1	GEMIN5
JADE2	NFE2L1
ARHGAP15	SEMA5B
NEDD4	PIBF1
PRKAR2B	OXCT1
GDE1	OXCT1
ARSD	OXCT1
KIAA0100	OXCT1
MGST1	OXCT1
AIFM2	OXCT1
RETSAT	OXCT1
PTGER3	OXCT1
HEBP2	OXCT1
ATP9A	OXCT1
CS	OXCT1
MAOB	OXCT1
TTC38	OXCT1
UNG	OXCT1
PGM1	OXCT1
UNKL	ZNF446
NFIX	FAT1
ATP2B4	FAT1
SEMA3C	FAT1
SESN1	SMAP2
RNF14	STARD7
SAR1A	STARD7
ATP11A	SSH1
TMEM98	COL16A1
GAS7	COL16A1
CYB561	COL16A1
CD9	COL16A1
DCN	COL16A1
MTMR11	COL16A1
CACNB1	COL16A1
PAK3	COL16A1
EHD3	KIF3C
MTMR11	KIF3C
ACADVL	MAPRE3
THSD7A	MECOM
MFAP3	MECOM
KMT2E	SCAMP1
WWTR1	SCAMP1
NEDD4	SCAMP1
CLEC16A	PREP
CDK17	WDFY1
ALDH3B1	PILRA
BTK	PILRA
TYROBP	PILRA
RNASET2	PILRA
KCNAB2	PILRA
TIMP2	MAST2
CRMP1	MAST2
DLGAP4	MAST2
OSTM1	ZFAND6
RNASET2	LAT2
KCNQ1	LAT2
PLEKHO1	PPP1R15A
PFKP	PPP1R15A
NFKB2	PPP1R15A
ATP8B1	PPP1R15A
BAD	TRIP6
ALDH3B1	FTL
GRN	FTL
MSR1	FTL
CYBA	FTL
TBXAS1	FTL
SPI1	FTL
UBA6	NLK
CDK17	NLK
ACAA1	PIGS
TNFRSF1B	PGS1
TRAF3IP2	PGS1
ABCB5	MMP2
CCN5	MMP2
FAP	MMP2
CASP10	LPCAT2
PARP12	LPCAT2
CDC14A	LPCAT2
MEF2C	LPCAT2
KLHL13	GNAO1
TSPOAP1	GNAO1
TBXA2R	GNAO1
HSD17B6	GNAO1
LTBP1	GNAO1
CYFIP2	GNAO1
MYLK	GNAO1
PFKP	GNAO1
PDZD4	GNAO1
MRVI1	GNAO1
NOTCH3	GNAO1
ITGA8	GNAO1
DLG3	GNAO1
JARID2	SH3BP2
HDHD5	NOP14
ARHGAP15	NID2
TXLNG	GMCL1
BTK	CASS4
TYROBP	CASS4
WAS	CASS4
MSR1	CASS4
TBXAS1	CASS4
CD84	CASS4
SPI1	CASS4
KCNAB2	CASS4
PTPRC	CASS4
FYB1	CASS4
EHD2	PIR
AKR7A2	AAMDC
CTDP1	GNA11
TIMP2	ASAP3
GUCY1B1	REM1
NOTCH3	REM1
ADGRL1	EPB41L1
MGLL	EPB41L1
FAT1	EPB41L1
SYNE2	DOCK9
USP13	DOCK9
TIE1	DOCK9
LNX1	DOCK9
PLXNA2	DOCK9
RAPGEF3	DOCK9
HFE	C3orf18
SLC46A1	C3orf18
GCLC	CRLS1
GGCT	CRLS1
NADK	CRLS1
MGST1	CRLS1
ST3GAL1	CRLS1
ELOA	CRLS1
ABHD5	CRLS1
HEBP2	CRLS1
ATP9A	CRLS1
CS	CRLS1
TTC38	CRLS1
MCCC1	CRLS1
PGM1	CRLS1
STRADB	CRLS1
OXCT1	CRLS1
TXLNG	CRLS1
TSPAN9	PPP1R13B
PRKCH	PPP1R13B
BCAR1	SMOX
TRAF4	SMOX
KCNQ1	SIGLEC1
TBXAS1	SIGLEC1
LAP3	FKBP1A
TNFRSF1B	FKBP1A
STK10	FKBP1A
RASGRP2	EBF4
MYCBP2	MAVS
ARSD	MAVS
NADK	MAVS
ST3GAL1	MAVS
