A	B
ABCC8	SEMA4G
CD22	SEMA4G
LRRC7	SEMA4G
DEPDC1B	SEMA4G
CDH1	SEMA4G
COL9A2	SEMA4G
NRIP2	SEMA4G
MCOLN3	SEMA4G
PTPRU	SEMA4G
SPAG5	SEMA4G
MYH7B	SEMA4G
TRPM3	SEMA4G
FOLH1	SEMA4G
DNMT3B	SEMA4G
DOCK3	SEMA4G
ITGAL	BLNK
TRAF3IP3	BLNK
OAS1	BLNK
RASGRF1	TLL2
ARHGAP15	TLL2
PLEKHB1	CRTAC1
GRAMD1B	CRTAC1
RTN4R	CRTAC1
FSCN1	CRTAC1
KIF3C	CRTAC1
PPP1R15A	CREM
FGR	FKBP5
SLC7A8	FKBP5
EPDR1	TMEM14A
ANKRD44	EFHC1
ABCF2	HSP90AB1
TNFRSF1A	HSP90AB1
PUM3	HSP90AB1
NANS	HSP90AB1
PIAS1	JAK2
QPCTL	ACOT7
SPHK2	ACOT7
HSD17B10	ACOT7
IL4R	CDC7
ABCC9	PCSK5
FAM214A	ABLIM1
ZFP64	ERMP1
NTN4	NRP1
SYNJ2	NRP1
PCSK5	NRP1
ETV1	PRTFDC1
FMO1	PRTFDC1
BTN3A1	PRTFDC1
HDAC9	PRTFDC1
HHAT	PRTFDC1
CDON	PRTFDC1
RHOBTB1	PRTFDC1
PPP1R12B	PRTFDC1
FAP	PRTFDC1
C1QTNF3	PRTFDC1
EPB41L1	PRTFDC1
NRP1	PRTFDC1
NUAK1	PALMD
GAS7	TSPAN15
GPM6B	TSPAN15
ST6GALNAC2	TSPAN15
PCBP4	TSPAN15
SLC22A17	TSPAN15
PHPT1	OCEL1
ALDH18A1	HSD3B7
MYDGF	ATP5F1D
BLVRB	ATP5F1D
BLVRB	TIMM13
ATP1A2	IZUMO4
LIMS2	IZUMO4
HSD17B14	IZUMO4
MT3	IZUMO4
CRTAC1	IZUMO4
RTN4R	RASSF7
B4GALT1	GADD45B
CD22	ARVCF
SEMA3B	ARVCF
LRRC7	ARVCF
NRIP2	ARVCF
PTPRU	ARVCF
SDK2	ARVCF
ST6GALNAC2	ARVCF
LIMS2	ARVCF
RGS11	ARVCF
RAP1GAP	ARVCF
TRPM3	ARVCF
EFR3B	ARVCF
DNMT3B	ARVCF
PLEKHG2	ARVCF
COL9A3	ARVCF
SEMA4G	ARVCF
PTPRU	ZDHHC8
TESK2	ZDHHC8
LIMS2	ZDHHC8
KIF3C	ZDHHC8
HSD17B14	ZDHHC8
PCBP4	ZDHHC8
PLEKHG2	ZDHHC8
TYRO3	ZDHHC8
IZUMO4	ZDHHC8
ADGRA2	MMP11
BTN3A1	MMP11
COL16A1	MMP11
EFNB1	MMP11
ATP1A2	CECR2
TSPOAP1	P2RX6
COL9A2	P2RX6
RGS11	P2RX6
NAALAD2	P2RX6
MYH7B	P2RX6
TRPM3	P2RX6
ANKRD24	P2RX6
SEMA4G	P2RX6
ARVCF	P2RX6
SNAI2	GGT5
CLTCL1	GGT5
JADE1	GGT5
SLC7A8	GGT5
GPC1	SEC14L2
LAMB1	SEC14L2
ATP1A2	YPEL1
NRXN3	YPEL1
FAM214A	YPEL1
CECR2	YPEL1
POMGNT1	PPM1F
TACC3	MFNG
ZZEF1	HPS4
ALG9	HPS4
YPEL1	PIK3IP1
SPHK2	GCAT
RPS6KA2	GCAT
HSD17B10	GCAT
ACOT7	GCAT
PDZD4	POLR2F
RGS11	POLR2F
MYH7B	POLR2F
TLL2	POLR2F
TRAF1	SLC16A8
SLC9A3	SLC16A8
SOX8	SEPTIN3
ATP1A2	SEPTIN3
PLEKHB1	SEPTIN3
GRAMD1B	SEPTIN3
LRRC7	SEPTIN3
GPM6B	SEPTIN3
KCNH2	SEPTIN3
CAMK2B	SEPTIN3
PTPRU	SEPTIN3
LIMCH1	SEPTIN3
BCAS1	SEPTIN3
SPTB	SEPTIN3
LIMS2	SEPTIN3
FSCN1	SEPTIN3
SPAG5	SEPTIN3
CDH7	SEPTIN3
EFR3B	SEPTIN3
KIF3C	SEPTIN3
FOLH1	SEPTIN3
MT3	SEPTIN3
DOCK3	SEPTIN3
CRTAC1	SEPTIN3
MRC2	KDELR3
FAP	KDELR3
NRP1	KDELR3
PRTFDC1	KDELR3
MMP11	KDELR3
MYDGF	TOMM22
NANS	TOMM22
ADIPOR2	SUN2
CLTCL1	SUN2
FSTL3	SUN2
WIPI1	SUN2
PLXNA2	SUN2
SESN1	SUN2
SLC7A8	SUN2
FKBP5	SUN2
PRODH	SUN2
GCAT	SUN2
GNA15	HMOX1
WDR18	TSPO
QPCTL	TTLL12
SLC25A39	TTLL12
HGF	APOL1
CD44	APOL1
IL4R	APOL1
ARHGAP44	MYH9
NFIX	MYH9
GUCY1B1	MYH9
MAST4	MYH9
FRY	MYH9
NOTCH3	MYH9
MEF2C	MYH9
NRP1	MYH9
ATP1A2	CACNA1I
ANKRD44	IFT27
TRAF5	IFT27
ICAM1	CSF2RB
SLC25A39	KCTD17
POLD1	KCTD17
ISOC2	KCTD17
P4HA2	KCTD17
TMEM132A	CHADL
ATP1A2	CHADL
MT3	CHADL
CRTAC1	CHADL
IZUMO4	CHADL
SEPTIN3	CHADL
SPHK2	RANGAP1
ACOT7	RANGAP1
ENO1	PRMT5
POLR3H	PRMT5
ALG9	DDHD1
GAS7	ITPK1
HGF	GALNT16
CD44	GALNT16
NOTCH3	GALNT16
CAPN6	GALNT16
