A	B
SERPINB1	CBFB
DERA	CBFB
IFNGR1	CBFB
IKZF2	CBFB
VAMP3	CBFB
HEBP2	CBFB
MTHFD2	CBFB
YBX1	CBFB
CD38	FGFR3
PIK3C2A	FGFR3
ATP1A2	FGFR3
HSD17B6	FGFR3
EYA2	FGFR3
PHKA1	FGFR3
TEAD3	IFI35
MVP	IFI35
SERPINB1	IFI35
EHD2	IFI35
HOMER3	IFI35
HEBP2	IFI35
HMG20B	IFI35
RHBDF1	PLEKHH3
TEAD3	PLEKHH3
PHF21B	PLEKHH3
KLHL13	INPP5A
CAMKK1	INPP5A
DLX6	INPP5A
CDKL5	INPP5A
NCDN	INPP5A
CYP46A1	INPP5A
DGAT2	INPP5A
FAR2	INPP5A
SLC9A7	INPP5A
NGEF	INPP5A
PRKCZ	INPP5A
ATP2B3	INPP5A
NEXMIF	REEP1
LAP3	LAPTM4A
SZRD1	LAPTM4A
PLPP1	LAPTM4A
CAMKK1	RASGRP2
RHOBTB2	RASGRP2
CCDC88C	RASGRP2
CYP46A1	RASGRP2
CAMK2B	RASGRP2
DGAT2	RASGRP2
NGEF	RASGRP2
INPP5A	RASGRP2
ZFYVE16	IFT80
SOX8	SIRT2
LAMP2	SIRT2
TMEM98	SIRT2
ADIPOR2	SIRT2
SYPL1	SIRT2
PHLDB1	SIRT2
FUT8	SIRT2
DAPK2	SIRT2
WWC3	SIRT2
COL9A2	SIRT2
VAMP3	SIRT2
LIMCH1	SIRT2
SLC12A2	SIRT2
PACC1	SIRT2
PRKCQ	SIRT2
YBX1	SIRT2
DIP2B	SIRT2
ELOVL1	SIRT2
FGFR2	SIRT2
PREX2	PYGM
ARSF	PYGM
ARHGAP31	MAST4
CFH	ADGRF5
CASP10	ADGRF5
SLC38A5	ADGRF5
ADGRA2	ADGRF5
FOXC1	ADGRF5
TRAM2	ADGRF5
TNFRSF12A	BCL3
TEAD3	BCL3
SLC11A1	BCL3
SERPINB1	BCL3
TNFRSF1B	BCL3
CAMKK1	KCNAB2
CACNG3	KCNAB2
DLX6	KCNAB2
MATK	KCNAB2
SYN1	KCNAB2
CAMK1G	KCNAB2
SYT7	KCNAB2
NCDN	KCNAB2
CYP46A1	KCNAB2
FSTL4	KCNAB2
PTPRN	KCNAB2
KCNH2	KCNAB2
CAMK2B	KCNAB2
PSD	KCNAB2
LZTS1	KCNAB2
DGAT2	KCNAB2
SEZ6	KCNAB2
CA11	KCNAB2
SLC9A7	KCNAB2
NGEF	KCNAB2
PDZD4	KCNAB2
ATP2B3	KCNAB2
PAX6	TGFBR3
CHDH	TGFBR3
PREX2	TGFBR3
MYLK	TGFBR3
LAPTM4A	TGFBR3
CFLAR	NEDD4
ARHGAP44	GNB5
ATP2B3	GNB5
ANKRD44	LRP6
DNAH9	PTPN3
DLEC1	PTPN3
DNAH5	PTPN3
IDS	SPTB
DPF1	SPTB
SYT7	SPTB
NCDN	SPTB
TOMM34	SPTB
FSTL4	SPTB
PTPRN	SPTB
RIMBP2	SPTB
SEZ6	SPTB
PRKCZ	SPTB
PDZD4	SPTB
ATP2B3	SPTB
KCNAB2	SPTB
SLC25A13	SLC44A1
TMEM98	SLC44A1
ADIPOR2	SLC44A1
MYLIP	SLC44A1
SYPL1	SLC44A1
CD9	SLC44A1
ANLN	SLC44A1
BRCA1	SLC44A1
CD22	SLC44A1
SEMA3B	SLC44A1
CLDN11	SLC44A1
CLCA4	SLC44A1
PHLDB1	SLC44A1
VRK2	SLC44A1
DAPK2	SLC44A1
RAI14	SLC44A1
COL9A2	SLC44A1
VAMP3	SLC44A1
PLEKHH1	SLC44A1
TMCC3	SLC44A1
WNK1	SLC44A1
LIMCH1	SLC44A1
ST3GAL6	SLC44A1
