A	B
ELOA	ATG5
BTBD7	ATG5
STRAP	ATG5
RABEP1	ATG5
NSMAF	ATG5
RFC1	ATG5
CTNNA1	ATG5
POLR2B	ATG5
AP5M1	ATG5
PSMC4	PITHD1
SEC63	PITHD1
RABEP1	PITHD1
NSMAF	PITHD1
PSMA4	PITHD1
VAMP3	PITHD1
CLPTM1L	PITHD1
GDI2	PITHD1
ST7	MTA3
CEP68	MTA3
TBC1D22A	MTA3
FAM168A	MTA3
LAMP2	ATP11B
VRK2	ATP11B
DHX33	SEC61A1
UTP18	SEC61A1
CLEC16A	SEC61A1
LSG1	SEC61A1
AIFM2	SEC61A1
SOAT1	SEC61A1
MDH1	PPP1R12A
XK	PPP1R12A
USP28	PPP1R12A
METTL24	PPP1R12A
PNKP	CROCC
PHKA2	CROCC
NDUFAF7	POLR3E
ZNF263	POLR3E
FARP2	POLR3E
NADK	POLR3E
SPAG9	POLR3E
CLEC16A	POLR3E
LSG1	POLR3E
ZNF800	POLR3E
INPP4A	ATP2B4
NFYA	ZC3H11A
NDUFAF7	ZC3H11A
POMT2	ZC3H11A
CLCN6	ZC3H11A
CLEC16A	ZC3H11A
ZNF200	RIOK2
PSMC4	RIOK2
NUB1	RIOK2
RNF14	RIOK2
SNX1	RIOK2
RABEP1	RIOK2
TRAPPC3	RIOK2
FAM114A2	RIOK2
LAP3	YIPF1
DHX33	YIPF1
RPAP3	YIPF1
CIAPIN1	YIPF1
GTF2IRD1	YIPF1
ST3GAL1	YIPF1
ABHD5	YIPF1
GCLM	YIPF1
ABCF2	YIPF1
METTL1	YIPF1
LSG1	YIPF1
AP2S1	YIPF1
C12orf4	YIPF1
NOP16	YIPF1
RCN1	YIPF1
RRP12	YIPF1
MRTO4	YIPF1
NOP58	YIPF1
TRAF3IP2	YIPF1
SOAT1	YIPF1
LAMP2	NDC1
ERP44	NDC1
LSG1	NDC1
SEC61A1	NDC1
XK	DGKG
HDAC9	DGKG
RPAP3	ALDH18A1
LARS2	ALDH18A1
MVP	ALDH18A1
BAK1	ALDH18A1
C12orf4	ALDH18A1
MRTO4	ALDH18A1
MRC2	TARBP1
LIMA1	TARBP1
PLEKHH1	TARBP1
VPS41	GATB
TSR3	GATB
MPND	GATB
MTA3	GATB
NDUFAF7	DNAJC25
DHX33	DNAJC25
ZNF195	DNAJC25
GGCT	DNAJC25
ZNF207	DNAJC25
TTC19	DNAJC25
PTBP1	DNAJC25
SNAPC1	DNAJC25
TOMM34	DNAJC25
UBA6	DNAJC25
TRIT1	DNAJC25
C12orf4	DNAJC25
NOP16	DNAJC25
RCN1	DNAJC25
RFC2	DNAJC25
RRP12	DNAJC25
MRTO4	DNAJC25
SOAT1	DNAJC25
POLR3E	DNAJC25
YIPF1	DNAJC25
SARS1	CTDP1
ABCF2	CTDP1
LSG1	CTDP1
AIFM2	CTDP1
ZNF800	CTDP1
THRAP3	CTDP1
SZRD1	CTDP1
TRAF3IP2	CTDP1
POLR3E	CTDP1
GGCT	YBX3
GTF2IRD1	YBX3
ABHD5	YBX3
GCLM	YBX3
ABCF2	YBX3
NOP16	YBX3
RFC2	YBX3
SOAT1	YBX3
YIPF1	YBX3
SKAP2	WNK1
FBXL3	WNK1
KIAA0100	WNK1
SYPL1	WNK1
UBE3C	WNK1
NCAPD2	WNK1
BTBD7	WNK1
MBTPS2	WNK1
VRK2	WNK1
TPR	WNK1
FARP2	CCAR1
CLCN6	CCAR1
PIK3C2A	CCAR1
RNF19A	CCAR1
CLEC16A	CCAR1
WDR37	CCAR1
RBM5	OGFR
TTC19	OGFR
RUFY3	OGFR
ZCCHC8	OGFR
TTC17	OGFR
COX15	PIGV
ERP44	SNRNP40
SLC39A9	SNRNP40
FAM114A2	SNRNP40
SEC61A1	SNRNP40
NFYA	QSER1
UBA6	QSER1
ARF5	ACAA1
DVL2	ACAA1
MED24	ACAA1
ZNF207	ACAA1
TTC19	ACAA1
B4GALT7	ACAA1
BRD9	ACAA1
BAK1	ACAA1
ATP6V0A1	ACAA1
SLC66A1	ACAA1
WDR37	ACAA1
LETMD1	ACAA1
H6PD	HDAC7
USP36	HDAC7
HCCS	NCKAP1
SKAP2	NCKAP1
MYCBP2	NCKAP1
PIAS1	NCKAP1
TPR	NCKAP1
ATP9A	NCKAP1
KMT2C	NCKAP1
DCBLD2	NCKAP1
ATG5	NCKAP1
GDE1	MRPS35
CSDE1	MRPS35
CUL1	MRPS35
ZFR	MRPS35
TTC19	SFSWAP
MAP4K5	SFSWAP
SLC66A1	SFSWAP
USP36	SFSWAP
CRAMP1	MON2
IDS	MON2
CLCN6	MON2
ATP6V0A1	MON2
OFD1	MON2
WDR37	MON2
LETMD1	MON2
FAM160A2	MON2
ALS2	GPBP1
SEC62	GPBP1
UTP18	GPBP1
SPAST	GPBP1
ERP44	GPBP1
JKAMP	GPBP1
SDCCAG8	GPBP1
UBR7	CS
SARS1	CS
VPS13D	CS
AP5M1	CS
CUL1	CS
PTPRN	LTK
KDM1A	ELMO2
ZNF263	ELMO2
MED24	ELMO2
UTP18	ELMO2
ATP2C1	ELMO2
CLEC16A	ELMO2
GPBP1	ELMO2
PSMC4	WAPL
RNF10	WAPL
VRK2	WAPL
VEZT	WAPL
VPS13D	WAPL
ATG5	WAPL
CS	WAPL
GGCT	VMP1
SEC62	APPBP2
ATP2C1	APPBP2
VAMP3	APPBP2
POMT2	POLD1
RRP12	POLD1
NCAPD2	EIF4B
RALBP1	EIF4B
ZRANB1	EIF4B
PIAS1	EIF4B
TPR	EIF4B
PIK3CB	EIF4B
CLCN6	BICRA
EDC4	BICRA
USP36	BICRA
HDAC7	BICRA
MAN2B2	SPHK2
PRDM11	SPHK2
RHBDD2	RPL18
SS18L2	RPL18
TTC19	RPL18
TOMM34	RPL18
SLC66A1	RPL18
ACAA1	RPL18
ATP2C1	U2AF2
KIAA0556	U2AF2
ELMO2	U2AF2
UPF1	EPN1
RANBP3	EPN1
PNPLA6	EPN1
AIFM2	EPN1
CLPTM1L	EPN1
SZRD1	EPN1
ELMO2	EPN1
U2AF2	EPN1
DYRK4	MED29
M6PR	ZNF275
RECQL	ZNF275
AP2B1	ZNF275
REV3L	ZNF275
PIK3C2A	ZNF275
RABGAP1	ZNF275
MBTPS2	ZNF275
ZMYND11	ZNF275
PRDM11	ZNF275
RB1CC1	ZNF275
FAM13B	ZNF275
PIAS1	ZNF275
BOD1L1	ZNF275
TPR	ZNF275
CELF2	ZNF275
PIK3CB	ZNF275
FNIP2	ZNF275
DCBLD2	ZNF275
TRIT1	MTMR1
MPND	ADCK1
GDE1	HAGH
AP2B1	HAGH
SCMH1	HAGH
CALCOCO1	HAGH
HEBP1	HAGH
PRDM11	HAGH
RNF10	HAGH
RANBP3	HAGH
ATP6V1H	HAGH
HEBP2	HAGH
AK2	RNF4
CIAPIN1	RNF4
FARP2	RNF4
ERP44	RNF4
BCLAF1	RNF4
