A	B
TULP3	RFX3
EPB41L2	RFX3
PGM3	PUM3
SYT7	KCNN2
SYT13	KCNN2
PYGM	KCNN2
NEBL	KCNN2
ELOVL1	DLGAP4
SLC2A3	CXCL2
DCN	COL4A4
TIMP2	COL4A4
ARHGAP6	COL4A4
CYBRD1	COL4A4
FBLN1	COL4A4
EPB41L2	COL4A4
MXD1	PTPRC
TFPI	STK17B
SOAT1	STK17B
BCAT1	STK17B
RAB27A	STK17B
FYN	ZNF506
RBMS2	ZNF506
RFX3	ZNF506
LASP1	ATP8B1
TFPI	ATP8B1
MCUB	ATP8B1
CYTH3	ATP8B1
CD9	ATP8B1
FYN	ATP8B1
MAMLD1	ATP8B1
VIM	ATP8B1
FAS	ATP8B1
AGPAT4	ATP8B1
TIMP2	ATP8B1
PI4K2B	ATP8B1
RAI14	ATP8B1
EPHA3	ATP8B1
PREX2	ATP8B1
ARHGAP6	ATP8B1
KITLG	ATP8B1
LIMA1	ATP8B1
FOXC1	ATP8B1
CDK17	ATP8B1
CALCRL	ATP8B1
FAM107B	ATP8B1
RBMS2	ATP8B1
MCAM	ATP8B1
SLC25A43	ATP8B1
TULP3	ATP8B1
BCAT1	FYB1
MCCC1	STRADB
VDAC3	STRADB
UTP18	BZW1
ELOVL5	BZW1
PGM3	BZW1
WWTR1	BZW1
ADSS2	BZW1
SOAT1	BZW1
ME1	ME2
TFPI	EPB41L3
HGF	EPB41L3
VIM	EPB41L3
CD44	EPB41L3
AGPAT4	EPB41L3
VCAN	EPB41L3
RAI14	EPB41L3
LCP2	EPB41L3
MXD1	EPB41L3
GNA15	EPB41L3
BCAT1	EPB41L3
DGKA	EPB41L3
FAM107B	EPB41L3
SPAG5	EPB41L3
SLC25A43	EPB41L3
PTPRC	EPB41L3
FYB1	EPB41L3
CYTH3	COBLL1
CNTLN	COBLL1
NEDD4	COBLL1
LASP1	TRAF5
PLXND1	TRAF5
LUC7L	TRAF5
MAMLD1	TRAF5
VIM	TRAF5
AGPAT4	TRAF5
TIMP2	TRAF5
PI4K2B	TRAF5
EPHA3	TRAF5
ARHGAP6	TRAF5
KITLG	TRAF5
PARP12	TRAF5
FAM107B	TRAF5
TRO	TRAF5
EVC	TRAF5
GLI2	TRAF5
NOTCH3	TRAF5
SLC25A43	TRAF5
TULP3	TRAF5
ATP8B1	TRAF5
EPB41L3	TRAF5
PDK2	NFE2L1
TMEM159	NFE2L1
PPP1R12B	NFE2L1
NDUFS1	BCKDHB
CLCN4	BCKDHB
TACC3	PLOD1
PDK2	OXCT1
ALAS1	OXCT1
DSG2	OXCT1
XK	OXCT1
PKP2	OXCT1
USP13	OXCT1
CS	OXCT1
MAOB	OXCT1
CLCN4	OXCT1
SDHA	OXCT1
PPP2R3A	OXCT1
SELENOO	ZNF446
SLC25A39	RPS5
B4GALT7	RPS5
FAM50A	RPS5
