A	B
UFL1	SRBD1
SLC30A9	SRBD1
ERP44	SRBD1
FUT8	SRBD1
MCUR1	SRBD1
GOLGA5	SRBD1
TRAM1	SRBD1
FGR	RASGRP2
NISCH	RASGRP2
STAB1	RASGRP2
ZNF76	SIRT2
ROGDI	SIRT2
IP6K2	SIRT2
ST7	ERLEC1
MCUR1	ERLEC1
ROGDI	PPP2R5B
SIRT2	PPP2R5B
ITGA3	MAST4
GUCY1B1	MAST4
LIMCH1	ADGRF5
SYPL1	NUP133
UTP18	NUP133
COX15	NUP133
ADSS2	NUP133
TNPO3	NUP133
REV3L	NUCKS1
ADSS2	DNAJA2
PRSS22	BCL3
TYMP	BCL3
ATP2B4	BCL3
SLC11A1	KCNAB2
CD74	KCNAB2
PLEKHO1	KCNAB2
TNFRSF1B	KCNAB2
CELF2	KCNAB2
RASGRP2	KCNAB2
GAS7	MAOB
ADAM22	MAOB
NFIX	MAOB
CD4	MAOB
WWTR1	MAOB
ADGRA2	MAOB
ARHGAP31	MAOB
TIMP2	MAOB
CC2D2A	MAOB
CYFIP2	MAOB
PLPP1	MAOB
RB1CC1	RORA
UBR2	RORA
ZNF275	RORA
SLK	RORA
PPP2R5A	RORA
ABHD5	TGFBR3
CD44	TGFBR3
DNAH5	TGFBR3
YBX3	TGFBR3
CASP10	NEDD4
RAI14	NEDD4
SLK	GNB5
SLC7A2	RAB27A
RUFY3	RAB27A
FNIP2	RAB27A
SYNE2	RAB27A
ATP2B4	RAB27A
YBX3	RAB27A
FAM107B	RAB27A
BCL3	RAB27A
TGFBR3	RAB27A
RANBP3	PHRF1
INPP4A	ELP1
SUGP2	ELP1
ZNF76	ELP1
IP6K2	ELP1
RECQL	SLC44A1
CSDE1	SLC44A1
UBR7	SLC44A1
GDI2	SLC44A1
USP13	SLC44A1
NEO1	SLC44A1
IFFO1	CLTCL1
FGR	FSTL3
CX3CL1	FSTL3
PLAUR	FSTL3
SLC11A1	FSTL3
BIRC3	FSTL3
TYMP	FSTL3
CAPG	FSTL3
LAMC2	FSTL3
TSR3	DGCR2
CTDP1	DGCR2
RASSF1	RNF126
U2AF2	MNT
SBNO2	MNT
U2AF2	JMJD6
TRAM1	WIPI1
INPP4A	AP3M2
TP53BP1	AP3M2
FGFR2	ST6GALNAC2
GDE1	PABPC1
CSDE1	PABPC1
STRAP	PABPC1
CS	PABPC1
IPO5	PABPC1
CCDC28A	CSNK2A2
LETMD1	CSNK2A2
TRAF3IP2	CSNK2A2
GDI2	CSNK2A2
KARS1	CSNK2A2
PPP2R5A	CSNK2A2
PRKCZ	CSNK2A2
CLPTM1L	EIF2B3
NADK	TCOF1
SCMH1	TCOF1
LYPLA2	TCOF1
EDC4	TCOF1
MAP4	CDC42
ZMYND11	ATP2B1
APPBP2	ATP2B1
NFIX	NCK2
MCUB	MAP4K4
ITGA3	MAP4K4
RAI14	MAP4K4
RCN1	MAP4K4
PFKP	MAP4K4
PKM	MAP4K4
ACSL4	MAP4K4
ATP11A	MAP4K4
YBX1	RPL31
CAPN1	WDR1
DHX8	WDR1
MRTO4	RPS6KA2
TTC27	ING3
CSNK2A2	ING3
MCUB	VASH1
TMEM132A	VASH1
CD4	VASH1
EHD3	VASH1
TACC3	VASH1
PLEKHO1	VASH1
TNFRSF1B	VASH1
CYTH3	LMCD1
NFIX	LMCD1
TIMP2	LMCD1
CD99	ATP6AP1
EIPR1	ATP6AP1
SPHK2	ATP6AP1
KDM4A	ATP6AP1
INPP5A	ATP6AP1
PNPLA6	TCF3
PRSS22	TRIB2
MTMR11	TRIB2
RUFY3	TRIB2
BIRC3	TRIB2
TYMP	TRIB2
CD44	TRIB2
CP	TRIB2
LAMC2	TRIB2
ATP2B4	TRIB2
YBX3	TRIB2
VMP1	TRIB2
TNFRSF1A	TRIB2
BCL3	TRIB2
RAB27A	TRIB2
SCMH1	DAZAP1
RANBP3	DAZAP1
OTUD5	DAZAP1
TBC1D25	DAZAP1
NCDN	MBD3
U2AF2	MBD3
TLE2	MBD3
APPBP2	HLTF
DEF6	FAM3A
B4GALT7	FAM3A
SLC66A1	FAM3A
METTL22	FAM3A
COASY	FAM3A
ADAM22	CYBRD1
CLDN11	CYBRD1
ADGRA2	CYBRD1
FHL1	CYBRD1
LTBP1	CYBRD1
DKK3	CYBRD1
MYLK	CYBRD1
GDE1	PDCD2
TTC27	PDCD2
LETMD1	PDCD2
TRAF3IP2	PDCD2
EIF4B	PDCD2
TNPO3	PDCD2
IPO5	PDCD2
PABPC1	PDCD2
IDI1	RDH11
ROGDI	ADGRL1
ITGA3	ACTN1
MVP	ACTN1
ALAS1	ACTN1
BIRC3	ACTN1
LAMC2	ACTN1
CTSA	ACTN1
TNFRSF1A	ACTN1
NCAPD2	ZFYVE26
ZNF263	EPN2
GRIPAP1	EPN2
ELOVL1	PTPN18
BAIAP3	SPEG
CELSR3	SPEG
MAPK8IP2	SPEG
MLXIPL	SPEG
GIPR	SPEG
CAMK2B	SPEG
RANBP9	AFF4
RAI14	UBE2D1
CBFB	UBE2D1
ACSL4	UBE2D1
FBXL3	MPP5
VPS35	MPP5
POLR3B	SMC1A
EXTL3	MARK2
EDC4	MARK2
DAZAP1	MARK2
NADK	CHFR
CAPN1	CHFR
IDH3G	CHFR
USP13	NFATC3
NEO1	NFATC3
SLC44A1	NFATC3
ITGA3	STK10
GAS7	STK10
PLEKHO1	STK10
GRN	STK10
CTSA	STK10
PKM	STK10
PLEKHO1	ACAP1
RASGRP2	ACAP1
ETV1	CRMP1
PAX6	CRMP1
CACNA2D2	CRMP1
BAIAP3	CRMP1
ADAM22	CRMP1
CELSR3	CRMP1
MAPK8IP2	CRMP1
MLXIPL	CRMP1
GIPR	CRMP1
CAMK2B	CRMP1
PSD	CRMP1
CA11	CRMP1
DYRK4	DERL2
PGM3	DERL2
CTNS	DERL2
AP3D1	DERL2
STAU2	NDE1
GUCY1B1	NDE1
CYTH3	MRVI1
CYBRD1	MRVI1
WDR1	AP1M1
PRSS22	PVR
RUFY3	PVR
ATP2B4	PVR
VMP1	PVR
BCL3	PVR
TRIB2	PVR
JADE2	XRCC1
PRKCZ	XRCC1
METTL22	SELENOO
PRSS22	ALPK1
RUFY3	ALPK1
ATP2B4	ALPK1
TRIB2	ALPK1
PVR	ALPK1
APBA3	LLGL2
KIAA0556	LLGL2
CROCC	LLGL2
TMEM161A	LLGL2
HMG20B	LLGL2
TCF3	LLGL2
GCFC2	PDE8A
ARID4A	PDE8A
ICA1	NLE1
BAIAP2L1	NLE1
ABHD5	NLE1
DEF6	NLE1
RRP12	NLE1
YBX3	NLE1
RPL18	NLE1
IPO5	NLE1
TTC7A	NLE1
TAB2	PPP2R3A
RAI14	FERMT2
LMCD1	FERMT2
PRSS22	IGF2BP2
PROM1	IGF2BP2
MAOB	ST6GAL1
RC3H2	PICALM
TAF2	PICALM
EXOC5	PICALM
FERMT2	PICALM
GDE1	NSF
UBR7	NSF
POLR3B	NSF
FUT8	NSF
DHX29	NSF
IARS2	NSF
DEF6	MRPS34
SEMA3F	NOTCH3
EHD3	NOTCH3
PLEKHO1	NOTCH3
LZTS1	NOTCH3
TLE2	NOTCH3
CSDE1	CLNS1A
STRAP	CLNS1A
CCDC28A	CLNS1A
SEC63	CLNS1A
LETMD1	CLNS1A
EIF4B	CLNS1A
IPO5	CLNS1A
ZC3H15	CLNS1A
PPP2R5A	CLNS1A
CSNK2A2	CLNS1A
INPP4A	EED
ELOA	TSG101
TNPO3	TSG101
SEMA3F	MGLL
FLT4	MGLL
TIE1	MGLL
REV3L	DPP8
FYN	ZNF532
PKD1	SCARF1
AKAP8L	SCARF1
ZNF76	SCARF1
MCUR1	LMAN1
HLTF	HACD3
HEATR5B	ZZEF1
LETMD1	ZZEF1
MVP	ENO1
ALAS1	ENO1
IFNGR1	ENO1
LAMC2	ENO1
GPC1	ENO1
TNFRSF1A	ENO1
ATP11A	ENO1
ACTN1	ENO1
CTNS	MYDGF
CUL7	ANO8
BICRA	ANO8
HMG20B	ANO8
ROGDI	ANO8
PPP2R5B	ANO8
RAD52	TUBE1
BAIAP2L1	ARHGEF10L
KCNH2	KCNQ2
ADSS2	SRI
CTNNA1	SRI
DNAJA2	SRI
GAS7	SEMA3C
MRC2	SEMA3C
DCN	SEMA3C
LTBP1	SEMA3C
DKK3	SEMA3C
