V1	V2
ADCY7	GNGT1
ADCY7	GNGT2
ADCY7	GRK2
ADCY7	KPNA2
ADCY7	PRKACA
ADCY7	PRKACB
ADCY7	PRKACG
ADCY7	PRKAR1A
ADCY7	PRKAR1B
ADCY7	PRKAR2A
ADCY7	PRKAR2B
ADCY7	PRKCA
ADCY7	PRKCD
ADCY7	PRKCG
ADCY7	PRKX
ADCY8	ADCY9
ADCY8	CALM1
ADCY8	CAMK2A
ADCY8	CAMK2B
ADCY8	CAMK2D
ADCY8	CAMK2G
ADCY8	CAMK4
ADCY8	CAMKK1
ADCY8	CAMKK2
ADCY8	CREB1
ADCY8	GNAI1
ADCY8	GNAI2
ADCY8	GNAI3
ADCY8	GNAL
ADCY8	GNAS
ADCY8	GNAT3
ADCY8	GNB1
ADCY8	GNB2
ADCY8	GNB3
ADCY8	GNB4
ADCY8	GNB5
ADCY8	GNG10
ADCY8	GNG11
ADCY8	GNG12
ADCY8	GNG13
ADCY8	GNG2
ADCY8	GNG3
ADCY8	GNG4
ADCY8	GNG5
ADCY8	GNG7
ADCY8	GNG8
ADCY8	GNGT1
ADCY8	GNGT2
ADCY8	GRK2
ADCY8	KPNA2
ADCY8	PLCB1
ADCY8	PLCB2
ADCY8	PLCB3
ADCY8	PRKACA
ADCY8	PRKACB
ADCY8	PRKACG
ADCY8	PRKAR1A
ADCY8	PRKAR1B
ADCY8	PRKAR2A
ADCY8	PRKAR2B
ADCY8	PRKCA
ADCY8	PRKCD
ADCY8	PRKCG
ADCY8	PRKX
ADCY9	CALM1
ADCY9	CAMK2A
